latitude,longitude,salinity,pressure,tritium
37.5,-34.98333333,35.184,1.242180553,1.52
37.5,-34.98333333,35.325,0.905939564,1.32
37.5,-34.98333333,35.414,0.674308713,3.29
37.5,-34.98333333,35.595,0.5116025,4.2
38.01666667,-20.55,36.104,1.030499597,2.33
38.01666667,-20.55,36.084,1.07708514,2.16
38.01666667,-20.55,36.094,1.114563171,2.2
38.01666667,-20.55,36.042,1.163192694,1.91
38.01666667,-20.55,36.146,1.210819366,2.01
38.01666667,-20.55,36.118,1.250347085,1.82
38.01666667,-20.55,36.077,1.300020042,1.81
38.01666667,-20.55,35.831,1.395341984,1.25
38.01666667,-20.55,35.635,1.478528447,1.03
38.01666667,-20.55,35.435,1.576972033,1.06
38.01666667,-20.55,35.251,1.776021784,0.57
38.01666667,-20.55,35.157,1.937626628,0.24
38.01666667,-20.55,35.014,2.503660531,0.03
38.01666667,-20.55,34.982,3.198923253,0.46
38.01666667,-20.55,35.671,0.366193472,5.85
38.01666667,-20.55,35.772,0.249107943,6.13
38.01666667,-20.55,35.928,0.125023661,5.68
38.01666667,-20.55,36.102,0.079644118,5.63
38.01666667,-20.55,36.097,0.046371618,5.68
38.01666667,-20.55,36.033,0.040322603,6.11
38.01666667,-20.55,36.102,0.017136221,5.58
39,-16,36.178,0.944527102,2.82
39,-16,36.159,1.046795232,2.48
39,-16,36.162,1.142017554,2.02
39,-16,36.202,1.24843095,1.79
39,-16,36.176,1.356923489,1.79
39,-16,35.906,1.454307516,1.45
39,-16,35.729,1.55680956,0.86
39,-16,35.467,1.674592874,0.53
39,-16,35.343,1.762971245,0.52
39,-16,35.227,1.869681533,0.24
39,-16,35.161,1.979494089,0.16
39,-16,35.118,2.060871685,0.04
39,-16,34.992,2.577296217,0.04
39,-16,34.967,3.025429741,0.02
39,-16,34.939,3.513384327,0.01
39,-16,34.903,5.485376266,0.07
39,-16,36.172,1.167349477,1.93
39,-16,36.132,1.110609961,2.2
39,-16,36.125,1.069077669,2.33
39,-16,36.137,1.009325236,2.58
39,-16,36.166,0.961737274,2.78
39,-16,36.112,0.808916819,2.81
39,-16,35.701,0.31776503,5.21
39,-16,35.85,0.236011006,5.92
39,-16,35.923,0.091752555,6.24
39,-16,36.277,0.018145881,5.91
37.96666667,-11.98333333,36.163,1.012268559,2.19
37.96666667,-11.98333333,36.215,1.108480234,2.17
37.96666667,-11.98333333,36.246,1.202706563,2.3
37.96666667,-11.98333333,36.146,1.311166724,1.87
37.96666667,-11.98333333,36.022,1.408521662,1.44
37.96666667,-11.98333333,35.886,1.508963467,0.91
37.96666667,-11.98333333,35.651,1.61351158,0.64
37.96666667,-11.98333333,35.498,1.709982953,0.45
37.96666667,-11.98333333,35.336,1.807512277,0.32
37.96666667,-11.98333333,35.258,1.910167392,0.18
37.96666667,-11.98333333,35.182,2.014904073,0.32
37.96666667,-11.98333333,35.106,2.192967909,0.17
37.96666667,-11.98333333,35.016,2.607646237,0.1
37.96666667,-11.98333333,34.995,3.02412287,0.02
37.96666667,-11.98333333,36.132,1.007205934,2.13
37.96666667,-11.98333333,36.109,0.9090137,2.33
37.96666667,-11.98333333,35.963,0.809852955,2.49
37.96666667,-11.98333333,35.86,0.706691507,2.68
37.96666667,-11.98333333,35.72,0.659172333,2.86
37.96666667,-11.98333333,35.616,0.45606578,4.93
37.96666667,-11.98333333,35.693,0.307641682,5.35
37.96666667,-11.98333333,35.859,0.178481654,5.81
37.96666667,-11.98333333,35.847,0.107878716,5.9
37.96666667,-11.98333333,35.949,0.058469876,5.8
37.96666667,-11.98333333,36.142,0.022176436,6.23
29.98333333,-72.15,36.427,0.384103575,5.46
29.98333333,-72.15,36.648,0.020146581,5.05
29.98333333,-72.15,34.968,3.0404153,0.08
29.98333333,-72.15,34.993,2.255553735,0.13
29.98333333,-72.15,34.994,1.809318229,0.27
29.98333333,-72.15,35.183,1.264679832,1.03
29.98333333,-72.15,35.134,1.085452943,0.84
29.98333333,-72.15,35.266,0.951885706,0.98
38,-11.01666667,35.001,3.09873155,0.53
38,-11.01666667,35.105,2.236749322,0.08
38,-11.01666667,35.397,1.777035125,0.28
38,-11.01666667,35.725,1.545503629,0.69
38,-11.01666667,36.086,1.443016065,1.54
38,-11.01666667,36.252,1.324351698,1.83
38,-11.01666667,36.155,0.986959543,2.24
38,-11.01666667,35.998,0.795693109,2.99
38,-11.01666667,35.808,0.692537879,2.99
38,-11.01666667,35.681,0.504553606,4.26
38,-11.01666667,36.154,0.109895963,5.84
38,-11.01666667,36.195,0.017136196,5.79
36.91666667,-10.23333333,35.786,1.583921408,0.76
36.91666667,-10.23333333,36.121,1.476353353,1.61
36.91666667,-10.23333333,36.36,1.214753355,2.54
36.91666667,-10.23333333,36.328,1.084068235,2.74
36.91666667,-10.23333333,36.055,0.925120421,2.22
36.91666667,-10.23333333,36.109,0.795615975,3.21
36.91666667,-10.23333333,35.664,0.449963519,4.66
36.35,-10.68333333,35.05,3.100314463,0.28
36.35,-10.68333333,35.6,1.64576423,0.44
36.35,-10.68333333,35.908,1.412374743,1.03
36.35,-10.68333333,36.269,1.231919051,2.04
36.35,-10.68333333,36.258,1.164032491,2.11
36.35,-10.68333333,36.131,0.964545174,2.11
36.35,-10.68333333,36.069,0.909894453,2.33
36.35,-10.68333333,35.946,0.761190681,2.74
36.35,-10.68333333,35.674,0.643915942,2.5
36.35,-10.68333333,35.819,0.303560613,5.26
36.35,-10.68333333,36.171,0.157275817,6.06
